id,type,text,category,characteristic_form,deterministic,note
1,IoT,What IoT sites are available?,Knowledge Query,"The expected response should be the return value of all sites, either as text or as a reference to a file",,
2,IoT,Can you list the IoT sites?,Knowledge Query,"The expected response should be the return value of all sites, either as text or as a reference to a file",,
3,IoT,What assets can be found at the MAIN site?,Knowledge Query,The expected response should be the return value from querying the assets at the MAIN site. The response should be a reference to a file containing the list of assets,,
4,IoT,Which assets are located at the MAIN facility?,Knowledge Query,The expected response should be the return value from querying the assets at the MAIN site. The response should be a reference to a file containing the list of assets,,
5,IoT,Retrieve metadata for Chiller 6 located at the MAIN site.,Data Query,"The expected response should be the metadata for asset 'Chiller 6' at the MAIN site.  The metadata may be in the return value, or the may be returned as a reference to a file containing the metadata",,
6,IoT,Get the asset details for Chiller 9 at the MAIN site.,Data Query,"The expected response should be the details for asset 'Chiller 9' at the MAIN site.  The details may be in the return value, or the may be returned as a reference to a file containing the details",,
7,IoT,Download the metadata for Chiller 3 at the MAIN facility.,Data Query,"The expected response should be the metadata for asset 'Chiller 3' as the MAIN site.  The metadata may be in the return value, or the may be returned as a reference to a file containing the metadata",,
8,IoT,Download sensor data for Chiller 6's Tonnage from the last week of 2020 at the MAIN site,Data Query,The expected response should be the tonnage data for last week of 2020 for 'Chiller 6' at the MAIN site. The response should be a reference to a file containing the list of tonnage values,,
9,IoT,Retrieve sensor data for Chiller 6's % Loaded from June 2020 at MAIN.,Data Query,"The expected response should be the % Loaded measurements for the asset 'Chiller 6' at the MAIN site. It should include all recorded values for June 1, 2020 througb June 30, 2020 inclusive. The response should be a reference to a file containing the % Loaded data",,
10,IoT,Get sensor data for both Chiller 6 and Chiller 9's Tonnage from first week of June 2020 at MAIN in a single file.,Data Query,The expected response should be the Tonnage values for both asset 'Chiller 6' and asset 'Chiller 9' at the MAIN site for last week. The values from both chillers should be merged into a single file. The return value should reference the file containing the merged Tonnage data from both chillers,,
11,IoT,Download all sensor data for Chiller 6 from the last week of April '20 at the MAIN site.,Data Query,The expected response should be data from all sensors for asset 'Chiller 6' at the MAIN site for the past week.  The return value should reference a file containing all the sensor data,,
12,IoT,Retrieve sensor data for Chiller 6 from June 2020.,Data Query,"The expected response should be all sensor data for asset 'Chiller 6' for June 1, 2020 through June 30, 2020, inclusive. The return value should be a reference to a file containing all the sensor data.",,
41,IoT,What was the latest supply humidity from CQPA AHU 1 at site MAIN on sept 3 2015? return in a file,Knowledge Query,"The expected response should be the latest value for the supply humidity on asset CQPA AHU 1 at the MAIN site, on Septemer 3, 2015. The return value should reference a file containing the supply humidity data",,
